RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        29067     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.831D-01  2.388D+01
    1    2     1     0  ---    0  1.1D-01  1.0D+00  2.704D-01  1.585D+01
    2    3     0     0  con    0  1.0D+00  4.5D+00  3.569D-02  5.458D+00
    3    4     0     0  con    0  1.0D+00  6.2D-01  2.410D-02  4.992D+00
    4    5     0     0  con    0  1.0D+00  1.7D+00  1.403D-02  4.277D+00
    5    6     0     0  con    0  1.0D+00  1.9D+00  7.599D-03  3.864D+00
    6    7     0     0  con    0  1.0D+00  2.8D+00  1.023D-02  3.515D+00
    7    8     0     0  con    0  1.0D+00  5.9D+00  1.614D-02  3.044D+00
    8   12     0     0  con    3  9.1D-02  1.4D+00  9.910D-03  2.938D+00
    9   14     0     0  con    1  3.7D-01  3.2D+00  2.387D-02  2.769D+00
   10   15     0     0  con    0  1.0D+00  1.4D+01  3.324D-02  2.537D+00
   11   17     0     0  con    1  1.8D-01  1.2D+00  1.313D-02  2.522D+00
   12   18     0     0  con    0  1.0D+00  2.8D+00  8.864D-03  2.482D+00
   13   20     0     0  con    1  5.0D-01  9.9D-01  8.778D-03  2.462D+00
   14   22     0     0  con    1  2.9D-01  3.1D-01  1.631D-02  2.453D+00
   15   23     0     0  con    0  1.0D+00  3.4D-01  2.726D-02  2.439D+00
   16   24     0     0  con    0  1.0D+00  2.0D+00  6.323D-02  2.388D+00
   17   25     0     0  con    0  1.0D+00  1.4D+00  7.819D-03  2.343D+00
   18   27     0     0  con    1  4.7D-01  6.6D-01  1.421D-02  2.329D+00
   19   28     0     0  con    0  1.0D+00  9.6D-01  3.221D-02  2.318D+00
   20   29     0     0  con    0  1.0D+00  5.6D-01  1.867D-02  2.298D+00
   21   30     0     0  con    0  1.0D+00  9.4D-01  2.288D-02  2.280D+00
   22   32     0     0  con    1  2.2D-01  1.1D+00  1.167D-02  2.258D+00
   23   34     0     0  con    1  5.1D-01  6.7D-01  2.479D-02  2.250D+00
   24   35     0     0  con    0  1.0D+00  1.9D-01  2.325D-02  2.238D+00
   25   36     0     0  con    0  1.0D+00  8.1D-01  1.436D-02  2.202D+00
   26   37     0     0  con    0  1.0D+00  8.0D-01  2.439D-02  2.182D+00
   27   38     0     0  con    0  1.0D+00  1.1D+00  1.314D-02  2.170D+00
   28   39     0     0  con    0  1.0D+00  6.4D-01  2.489D-02  2.159D+00
   29   40     0     0  con    0  1.0D+00  2.3D+00  3.893D-02  2.142D+00
   30   41     0     0  con    0  1.0D+00  6.2D-01  1.113D-02  2.129D+00
   31   42     0     0  con    0  1.0D+00  8.8D-01  1.210D-02  2.124D+00
   32   44     0     0  con    1  1.8D-01  7.4D-01  1.991D-02  2.110D+00
   33   45     0     0  con    0  1.0D+00  1.3D+00  1.624D-02  2.098D+00
   34   46     0     0  con    0  1.0D+00  8.6D-01  1.702D-02  2.090D+00
   35   48     0     0  con    1  3.6D-01  4.5D-01  2.469D-02  2.083D+00
   36   49     0     0  con    0  1.0D+00  9.3D-01  3.849D-02  2.072D+00
   37   50     0     0  con    0  1.0D+00  6.1D-01  1.249D-02  2.056D+00
   38   51     0     0  con    0  1.0D+00  8.0D-01  1.364D-02  2.037D+00
   39   52     0     0  con    0  1.0D+00  1.3D+00  1.817D-02  2.005D+00
   40   53     0     0  con    0  1.0D+00  3.0D+00  5.780D-02  1.982D+00
   41   54     0     0  con    0  1.0D+00  4.1D-01  5.342D-02  1.961D+00
   42   55     0     0  con    0  1.0D+00  3.7D-01  2.483D-02  1.953D+00
   43   56     0     0  con    0  1.0D+00  2.9D-01  2.193D-02  1.947D+00
   44   57     0     0  con    0  1.0D+00  1.9D-01  2.276D-02  1.944D+00
   45   58     0     0  con    0  1.0D+00  9.9D-01  1.651D-02  1.927D+00
   46   60     0     0  con    1  4.0D-01  1.0D+00  4.065D-02  1.917D+00
   47   61     0     0  con    0  1.0D+00  5.7D-01  2.572D-02  1.901D+00
   48   62     0     0  con    0  1.0D+00  7.8D-01  2.340D-02  1.886D+00
   49   63     0     0  con    0  1.0D+00  1.1D+00  3.853D-02  1.867D+00
   50   64     0     0  con    0  1.0D+00  1.4D+00  2.253D-02  1.845D+00
   51   65     0     0  con    0  1.0D+00  2.8D-01  1.482D-02  1.833D+00
   52   66     0     0  con    0  1.0D+00  3.5D-01  8.014D-03  1.826D+00
   53   67     0     0  con    0  1.0D+00  7.1D-01  2.728D-02  1.816D+00
   54   68     0     0  con    0  1.0D+00  1.3D+00  5.625D-02  1.810D+00
   55   69     0     0  con    0  1.0D+00  2.3D-01  1.993D-02  1.803D+00
   56   70     0     0  con    0  1.0D+00  1.7D-01  6.099D-03  1.801D+00
